poi_1,poi_2,distance_meters,distance_minutes
46,53,404,6
46,52,362,5
46,47,187,3
46,73,401,6
46,50,1520,22
46,71,1520,22
46,51,1180,17
46,44,1031,15
46,43,1472,21
46,58,749,11
46,45,692,10
46,59,786,11
46,60,749,11
46,63,2156,31
46,70,2121,30
46,54,450,6
46,74,526,8
46,75,865,12
46,49,1279,18
46,77,1437,21
46,76,1526,22
46,48,1032,15
46,61,920,13
46,62,1171,17
46,55,702,10
46,72,690,10
46,79,635,9
46,57,696,10
46,78,669,10
46,56,690,10
53,46,404,6
53,52,43,1
53,47,592,8
53,73,634,9
53,50,1158,17
53,71,1158,17
53,51,822,12
53,44,693,10
53,43,1110,16
53,58,537,8
53,45,556,8
53,59,574,8
53,60,524,7
53,63,1852,26
53,70,1760,25
53,54,410,6
53,74,931,13
53,75,1269,18
53,49,1041,15
53,77,1088,16
53,76,1178,17
53,48,896,13
53,61,713,10
53,62,1093,16
53,55,496,7
53,72,476,7
53,79,429,6
53,57,491,7
53,78,464,7
53,56,476,7
52,46,362,5
52,53,43,1
52,47,549,8
52,73,676,10
52,50,1200,17
52,71,1200,17
52,51,865,12
52,44,736,11
52,43,1152,16
52,58,576,8
52,45,558,8
52,59,612,9
52,60,563,8
52,63,1895,27
52,70,1802,26
52,54,367,5
52,74,888,13
52,75,1227,18
52,49,1084,15
52,77,1131,16
52,76,1220,17
52,48,898,13
52,61,752,11
52,62,1051,15
52,55,529,8
52,72,515,7
52,79,462,7
52,57,523,7
52,78,496,7
52,56,515,7
47,46,187,3
47,53,592,8
47,52,549,8
47,73,579,8
47,50,1707,24
47,71,1707,24
47,51,1367,20
47,44,1218,17
47,43,1659,24
47,58,936,13
47,45,880,13
47,59,973,14
47,60,936,13
47,63,2343,33
47,70,2309,33
47,54,637,9
47,74,390,6
47,75,705,10
47,49,1466,21
47,77,1625,23
47,76,1714,24
47,48,1220,17
47,61,1108,16
47,62,1148,16
47,55,889,13
47,72,878,13
47,79,823,12
47,57,884,13
47,78,857,12
47,56,878,13
73,46,401,6
73,53,634,9
73,52,676,10
73,47,579,8
73,50,1450,21
73,71,1450,21
73,51,1130,16
73,44,1033,15
73,43,1402,20
73,58,920,13
73,45,1093,16
73,59,956,14
73,60,907,13
73,63,1780,25
73,70,1996,29
73,54,851,12
73,74,921,13
73,75,1256,18
73,49,1396,20
73,77,1423,20
73,76,1512,22
73,48,1279,18
73,61,1095,16
73,62,1536,22
73,55,974,14
73,72,859,12
73,79,970,14
73,57,922,13
73,78,942,13
73,56,859,12
50,46,1520,22
50,53,1158,17
50,52,1200,17
50,47,1707,24
50,73,1450,21
50,71,0,1
50,51,349,5
50,44,498,7
50,43,156,2
50,58,955,14
50,45,1178,17
50,59,992,14
50,60,944,13
50,63,1092,16
50,70,602,9
50,54,1146,16
50,74,1877,27
50,75,2081,30
50,49,628,9
50,77,411,6
50,76,316,5
50,48,1100,16
50,61,1016,15
50,62,1252,18
50,55,1061,15
50,72,953,14
50,79,1063,15
50,57,1007,14
50,78,1029,15
50,56,953,14
71,46,1520,22
71,53,1158,17
71,52,1200,17
71,47,1707,24
71,73,1450,21
71,50,0,1
71,51,349,5
71,44,498,7
71,43,156,2
71,58,955,14
71,45,1178,17
71,59,992,14
71,60,944,13
71,63,1092,16
71,70,602,9
71,54,1146,16
71,74,1877,27
71,75,2081,30
71,49,628,9
71,77,411,6
71,76,316,5
71,48,1100,16
71,61,1016,15
71,62,1252,18
71,55,1061,15
71,72,953,14
71,79,1063,15
71,57,1007,14
71,78,1029,15
71,56,953,14
51,46,1180,17
51,53,822,12
51,52,865,12
51,47,1367,20
51,73,1130,16
51,50,349,5
51,71,349,5
51,44,149,2
51,43,301,4
51,58,606,9
51,45,829,12
51,59,643,9
51,60,595,8
51,63,1441,21
51,70,951,14
51,54,797,11
51,74,1706,24
51,75,1925,28
51,49,423,6
51,77,350,5
51,76,428,6
51,48,839,12
51,61,671,10
51,62,1096,16
51,55,712,10
51,72,604,9
51,79,714,10
51,57,658,9
51,78,680,10
51,56,604,9
44,46,1031,15
44,53,693,10
44,52,736,11
44,47,1218,17
44,73,1033,15
44,50,498,7
44,71,498,7
44,51,149,2
44,43,450,6
44,58,457,7
44,45,680,10
44,59,494,7
44,60,446,6
44,63,1494,21
44,70,1100,16
44,54,648,9
44,74,1557,22
44,75,1776,25
44,49,423,6
44,77,406,6
44,76,495,7
44,48,690,10
44,61,523,7
44,62,947,14
44,55,563,8
44,72,455,6
44,79,565,8
44,57,509,7
44,78,531,8
44,56,455,6
43,46,1472,21
43,53,1110,16
43,52,1152,16
43,47,1659,24
43,73,1402,20
43,50,156,2
43,71,156,2
43,51,301,4
43,44,450,6
43,58,907,13
43,45,1130,16
43,59,944,13
43,60,896,13
43,63,1249,18
43,70,758,11
43,54,1098,16
43,74,1927,28
43,75,2130,30
43,49,630,9
43,77,423,6
43,76,370,5
43,48,1122,16
43,61,973,14
43,62,1301,19
43,55,1013,14
43,72,905,13
43,79,1015,15
43,57,959,14
43,78,981,14
43,56,905,13
58,46,749,11
58,53,537,8
58,52,576,8
58,47,936,13
58,73,920,13
58,50,955,14
58,71,955,14
58,51,606,9
58,44,457,7
58,43,907,13
58,45,234,3
58,59,37,1
58,60,63,1
58,63,1947,28
58,70,1557,22
58,54,323,5
58,74,1275,18
58,75,1481,21
58,49,604,9
58,77,722,10
58,76,812,12
58,48,395,6
58,61,211,3
58,62,652,9
58,55,112,2
58,72,62,1
58,79,114,2
58,57,52,1
58,78,79,1
58,56,62,1
45,46,692,10
45,53,556,8
45,52,558,8
45,47,880,13
45,73,1093,16
45,50,1178,17
45,71,1178,17
45,51,829,12
45,44,680,10
45,43,1130,16
45,58,234,3
45,59,225,3
45,60,297,4
45,63,2174,31
45,70,1780,25
45,54,305,4
45,74,1194,17
45,75,1397,20
45,49,608,9
45,77,819,12
45,76,909,13
45,48,363,5
45,61,254,4
45,62,573,8
45,55,194,3
45,72,244,3
45,79,127,2
45,57,188,3
45,78,161,2
45,56,244,3
59,46,786,11
59,53,574,8
59,52,612,9
59,47,973,14
59,73,956,14
59,50,992,14
59,71,992,14
59,51,643,9
59,44,494,7
59,43,944,13
59,58,37,1
59,45,225,3
59,60,100,1
59,63,1984,28
59,70,1593,23
59,54,360,5
59,74,1242,18
59,75,1445,21
59,49,577,8
59,77,695,10
59,76,784,11
59,48,359,5
59,61,175,3
59,62,616,9
59,55,148,2
59,72,99,1
59,79,150,2
59,57,89,1
59,78,116,2
59,56,99,1
60,46,749,11
60,53,524,7
60,52,563,8
60,47,936,13
60,73,907,13
60,50,944,13
60,71,944,13
60,51,595,8
60,44,446,6
60,43,896,13
60,58,63,1
60,45,297,4
60,59,100,1
60,63,1934,28
60,70,1546,22
60,54,366,5
60,74,1275,18
60,75,1534,22
