prof_id,week_day,hour_begin,hour_end,level,note,constraint
2,Mon,12:30,13:30,undesired,,"not (Mon, [12:30, 13:30])"
2,Mon,18:30,19:30,undesired,,"not (Mon, [18:30, 19:30])"
2,Tue,12:30,13:30,undesired,,"not (Tue, [12:30, 13:30])"
2,Tue,18:30,19:30,undesired,,"not (Tue, [18:30, 19:30])"
2,Wed,12:30,13:30,undesired,,"not (Wed, [12:30, 13:30])"
2,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
2,Thu,12:30,13:30,undesired,,"not (Thu, [12:30, 13:30])"
2,Fri,12:30,13:30,undesired,,"not (Fri, [12:30, 13:30])"
2,Thu,18:30,19:30,impossible,,"NOT (Thu, [18:30, 19:30])"
2,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30, 19:30])"
67,Mon,10:30,16:30,undesired,,"not (Mon, [10:30, 16:30])"
67,Fri,14:30,16:30,undesired,,"not (Fri, [14:30, 16:30])"
67,Mon,08:30,10:30,impossible,,"NOT (Mon, [08:30, 10:30])"
76,Mon,10:30,12:30,undesired,,"not (Mon, [10:30, 12:30])"
76,Thu,15:30,17:30,undesired,,"not (Thu, [15:30, 17:30])"
76,Fri,08:30,12:30,undesired,,"not (Fri, [08:30, 12:30])"
76,Mon,08:30,10:30,impossible,,"NOT (Mon, [08:30, 10:30])"
76,,,,,Commuter. Mondays after 16:30. Thursdays before 15:30. NO Friday,"Commuter & NOT (Mon, [16:30, inf]) & NOT (Thu, [-inf, 15:30])"
15,Mon,17:30,19:30,undesired,,"not (Mon, [17:30, 19:30])"
15,Tue,17:30,19:30,undesired,,"not (Tue, [17:30, 19:30])"
15,Wed,17:30,19:30,undesired,,"not (Wed, [17:30, 19:30])"
15,Thu,17:30,19:30,undesired,,"not (Thu, [17:30, 19:30])"
15,Fri,17:30,19:30,impossible,,"NOT (Fri, [17:30, 19:30])"
22,Mon,08:30,09:30,undesired,,"not (Mon, [08:30, 09:30])"
22,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
22,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
22,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
22,Thu,12:30,14:30,undesired,,"not (Thu, [12:30, 14:30])"
22,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
