module_id,prof_id,n_hours,degree,degree_year
0,65,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,3
1,42,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
2,71,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
2,71,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
3,40,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,1
3,40,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,1
3,40,5,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,1
3,40,5,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,1
3,76,1,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,1
3,76,1,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,1
4,56,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
4,56,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
4,56,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
4,56,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
4,97,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
4,97,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
4,97,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
4,97,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
5,56,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,1
5,56,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,1
5,56,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,1
5,56,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,1
6,36,3,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,2
6,36,3,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,2
6,41,3,Laurea in Informatica [420] Corsi di laurea - UNICO,2
6,41,2,Laurea in Informatica [420] Corsi di laurea - UNICO,2
7,31,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
7,31,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
8,86,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
9,86,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
10,30,2,Laurea in Informatica [420] Corsi di laurea - UNICO,3
11,68,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,"[1,2]"
12,23,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,2
13,5,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,1
14,34,4,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
15,34,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
15,108,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
16,64,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
17,64,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
18,24,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
18,105,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
19,82,4,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
20,82,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
21,26,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,2
21,26,1,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,2
21,26,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,2
21,26,1,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,2
21,91,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,2
21,91,1,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,2
21,91,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,2
21,91,1,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,2
22,42,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,2
23,23,6,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
23,114,6,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
24,27,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
25,27,4,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
26,48,3,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
27,48,4,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
28,1,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,1
28,1,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,1
29,1,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,1
29,1,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,1
29,98,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,1
29,98,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,1
30,37,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
30,47,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
31,83,6,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,"[1,2]"
32,83,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,"[1,2]"
32,83,1,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,"[1,2]"
33,83,3,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,"[1,2]"
34,53,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
35,40,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,"[1,2]"
35,40,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,"[1,2]"
35,40,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,"[1,2]"
