prof_id,week_day,hour,semester,academic_year,module,degree,room,degree_year
67,Thu,11,1,2023/2024,Metodi matematici e statistici in biologia,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula M [Borgo Roma - Ca' Vignal 2],3
67,Thu,12,1,2023/2024,Metodi matematici e statistici in biologia,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula M [Borgo Roma - Ca' Vignal 2],3
67,Tue,14,1,2023/2024,Metodi matematici e statistici in biologia,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],3
67,Tue,15,1,2023/2024,Metodi matematici e statistici in biologia,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],3
89,Mon,10,1,2023/2024,Digital transformation and IT change,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],"[1,2]"
89,Mon,11,1,2023/2024,Digital transformation and IT change,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],"[1,2]"
89,Thu,15,1,2023/2024,Digital transformation and IT change,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],"[1,2]"
89,Thu,16,1,2023/2024,Digital transformation and IT change,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],"[1,2]"
90,Mon,13,1,2023/2024,Scienze omiche MODULO I Metabolomica teoria - Scienze omiche MODULO I Trascrittomica teoria - Scienze omiche MODULO II Proteomica teoria,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Aula H [Borgo Roma - Ca' Vignal 2],1
90,Mon,14,1,2023/2024,Scienze omiche MODULO I Metabolomica teoria - Scienze omiche MODULO I Trascrittomica teoria - Scienze omiche MODULO II Proteomica teoria,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Aula H [Borgo Roma - Ca' Vignal 2],1
